Name | Description | Default Value | Flags
battery_saver | OBSOLETE replaced by mobile_fps_* - Battery saver mode. 0=off, 1=on | false | a
benchframe | Takes a snapshot of a particular frame in a time demo. | cmd | release
bind | Bind a key. | cmd | release
binddefaults | Bind all keys to their default values. | cmd | release
bindss | Bind a key for a particular splitscreen player. | cmd | release
bindtoggle | Performs a bind &lt;key&gt; "increment var &lt;cvar&gt; 0 1 1". | cmd | devonly
blink | Blink specified convar value between two values at the specified duration. | cmd | devonly, norecord
bookworm_debug_ult |  | false | devonly, sv, cl, rep
boss_use_los_ultimate |  | true | devonly, sv, cl, rep
bot_command | &lt;bot name&gt; &lt;command string...&gt;. Sends specified command to one or more player bots: \[all\], \[east/west\], \[bot name\] | cmd | devonly, sv
bot_force_zipline | Make all the bots get on nearby ziplines | cmd | devonly, sv
bot_kick_all | Kick all the bots | cmd | sv, cheat
bot_mimic | Allows bots to mimic player | 0 | sv, cl, rep, cheat, release
bot_mimic_spec_buttons | +attack, +jump etc are used for spectator control instead of being passed on to spectated bot | true | cl, cheat
bot_mimic_target | Selects the targeted bot for mimicking | cmd | sv, cheat
bot_mimic_yaw_offset | Offsets the bot yaw. | 180 | sv, cheat
bot_puppet | Allows bots to be puppeteered by the player.  The player will do nothing while the bots perform the inputs | 0 | sv, cl, rep, cheat, release
bot_puppet_target | Selects the targeted bot for puppeteering | cmd | sv, cheat
bot_record_target | Selects the targeted bot for puppeteering | cmd | sv, cheat
box | Draw a bbox<br>	Arguments:  minx miny miny maxx maxy maxz &lt;lifetime = 10.0&gt; &lt;r g b a&gt;<br> | cmd | sv, cheat
break_damage_inherit_scale |  | 1 | devonly, sv, cl, rep
break_invulnerable_spawn_duration |  | 0.5 | devonly, sv, cl, rep
breakable_debug_spawn_transform_time | Debug draw the spawn transform location. | 0 | devonly, sv, cl, rep
breakable_force_break | Force a breakable to break | cmd | devonly, sv
breakable_multiplayer |  | true | devonly, sv
buddha | Player takes damage but won't die | false | sv, nf, cheat
buddha_ignore_bots | Bots always buddha 0 | false | sv, nf, cheat
buddha_reset_hp | HP to set when damaged below zero in Buddha Mode | 1 | sv, nf, cheat
bug | bug \[auto_fill_tokens\] \[-title &lt;text&gt;\] \[-noscreenshot\] : Activate the bug reporter. | cmd | devonly, norecord
bug_submitter_override |  |  | a
bugvoice_clear | Clear voice attachment data. | cmd | devonly, norecord
bugvoice_save | Write buffered voice attachment data to file. | cmd | devonly, norecord
buildcubemaps | Build Cubemaps | cmd | devonly, cl
buildcubemaps_renderdoc_capture | Capture a specific cubemap with RenderDoc during buildcubemaps. | -1 | devonly, cl
buildsparseshadowtree | Build Sparse Shadow Tree | cmd | devonly, cl, hidden
bullet_tracer_path_debug | Debug: visualization time for bullet tracer particles (0 = disable) | 0 | cl, cheat
button_info | Display information about the specified key or button. | cmd | release
c_maxdistance |  | 200 | cl, a
c_maxpitch |  | 90 | cl, a
c_maxyaw |  | 135 | cl, a
c_mindistance |  | 30 | cl, a
c_minpitch |  | 0 | cl, a
c_minyaw |  | -135 | cl, a
c_orthoheight |  | 100 | cl, a
c_orthowidth |  | 100 | cl, a
c_thirdpersonshoulder |  | false | cl, a
c_thirdpersonshoulderaimdist |  | 120 | cl, a
c_thirdpersonshoulderdist |  | 40 | cl, a
c_thirdpersonshoulderheight |  | 5 | cl, a
c_thirdpersonshoulderoffset |  | 20 | cl, a
cam_collision | When in thirdperson and cam_collision is set to 1, an attempt is made to keep the camera from passing though walls. | 1 | cl, a
cam_command | Tells camera to change modes | cmd | cl, cheat
cam_idealdelta | Controls the speed when matching offset to ideal angles in thirdperson view | 4 | cl, a
cam_idealdist |  | 150 | cl, a
cam_ideallag | Amount of lag used when matching offset to ideal angles in thirdperson view | 4 | cl, a
cam_idealpitch |  | 0 | cl, a
cam_idealyaw |  | 0 | cl, a
cam_showangles | When in thirdperson, print viewangles/idealangles/cameraoffsets to the console. | false | cl, cheat
cam_snapto |  | false | cl, a
camera_cut_to_datadriven_camera |  | cmd | devonly, cl, hidden
camera_cut_to_default_camera |  | cmd | devonly, cl, hidden
camera_datadriven_debug |  | false | devonly, cl, cheat
camera_datadriven_disable_cache |  | false | devonly, sv, cheat
camerazoomin |  | cmd | devonly, cl
camerazoomout |  | cmd | devonly, cl
camortho | Switch to orthographic camera. | cmd | cl, cheat
capturecubemap | Capture Cubemap | cmd | devonly, cl
cast_aabb | Tests box collision detection | cmd | sv, cheat
cast_capsule | Tests capsule collision detection | cmd | sv, cheat
cast_convex | Tests convex hull collision detection | cmd | sv, cheat
cast_cylinder | Tests cylinder collision detection | cmd | sv, cheat
cast_intervals | Tests interval ray cast | cmd | sv, cheat
cast_obb | Tests cylinder collision detection | cmd | sv, cheat
